Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,610968,-,-,-,19.69,-100.18,-6,2926,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,1,0,0,0,0,0,4.4,0.11,1,90.46000000000001,5.800000000000001,724
2019,1,1,0,30,0,0,0,4.4,0.11,1,90.46000000000001,5.800000000000001,724
2019,1,1,1,0,0,0,0,4,0.11,0.9,87.56,5.9,723
2019,1,1,1,30,0,0,0,4,0.11,0.9,87.56,5.9,723
2019,1,1,2,0,0,0,0,3.6,0.11,0.9,85.25,5.9,723
2019,1,1,2,30,0,0,0,3.6,0.11,0.9,85.25,5.9,723
2019,1,1,3,0,0,0,0,3.2,0.11,0.9,83.59,5.800000000000001,723
2019,1,1,3,30,0,0,0,3.2,0.11,0.9,84.76,5.6000000000000005,723
2019,1,1,4,0,0,0,0,2.9000000000000004,0.11,0.9,83.84,5.4,723
2019,1,1,4,30,0,0,0,2.9000000000000004,0.11,0.9,85.01,5.2,723
2019,1,1,5,0,0,0,0,2.4000000000000004,0.11,0.9,83.45,5,723
2019,1,1,5,30,0,0,0,2.4000000000000004,0.11,0.9,85.21000000000001,4.7,723
2019,1,1,6,0,0,0,0,2,0.11,0.9,83.8,4.5,723
2019,1,1,6,30,0,0,0,2,0.11,0.9,83.92,4.5,724
2019,1,1,7,0,0,0,0,2.2,0.11,0.9,85.79,4.4,724
2019,1,1,7,30,20,289,0,2.2,0.11,0.9,74.69,6.4,724
2019,1,1,8,0,35,644,0,4.5,0.11,0.9,76.85000000000001,8.3,725
2019,1,1,8,30,45,801,0,4.5,0.11,0.8,67.2,10.3,725
2019,1,1,9,0,51,890,0,2.4000000000000004,0.11,0.7000000000000001,51.27,12.200000000000001,725
2019,1,1,9,30,57,946,0,2.4000000000000004,0.11,0.7000000000000001,46.49,13.700000000000001,725
2019,1,1,10,0,61,983,0,1.7000000000000002,0.11,0.8,40.1,15.200000000000001,725
2019,1,1,10,30,64,1007,0,1.7000000000000002,0.11,1.1,38.11,16,725
2019,1,1,11,0,69,1022,0,2,0.11,1.3,36.87,16.8,724
2019,1,1,11,30,221,703,7,2,0.11,1.5,35.730000000000004,17.3,724
2019,1,1,12,0,215,736,7,2.3000000000000003,0.11,1.7000000000000002,35.54,17.8,724
2019,1,1,12,30,200,799,7,2.3000000000000003,0.11,1.7000000000000002,35.050000000000004,18,723
2019,1,1,13,0,333,492,7,2.5,0.11,1.8,34.88,18.3,723
2019,1,1,13,30,326,473,7,2.5,0.11,1.6,35.050000000000004,18.2,722
2019,1,1,14,0,315,439,7,2.5,0.11,1.5,34.99,18.2,722
2019,1,1,14,30,225,627,7,2.5,0.11,1.3,35.43,18,722
